action,asset,kept_or_target,mesh_name
deleted,Assets/Mesh/Bat_3.asset,Assets/Mesh/Bat_1.asset,Bat
deleted,Assets/Mesh/Death_1.asset,Assets/Mesh/Death_0.asset,Death
deleted,Assets/Mesh/Death_2.asset,Assets/Mesh/Death_0.asset,Death
deleted,Assets/Mesh/Death_3.asset,Assets/Mesh/Death_0.asset,Death
deleted,Assets/Mesh/Death_4.asset,Assets/Mesh/Death_0.asset,Death
deleted,Assets/Mesh/Egglet_1.asset,Assets/Mesh/Egglet_0.asset,Egglet
deleted,Assets/Mesh/Egglet_2.asset,Assets/Mesh/Egglet_0.asset,Egglet
deleted,Assets/Mesh/Egglet_3.asset,Assets/Mesh/Egglet_0.asset,Egglet
deleted,Assets/Mesh/Egglet_4.asset,Assets/Mesh/Egglet_0.asset,Egglet
deleted,Assets/Mesh/FXMesh_ShanDian_001_0.asset,Assets/Mesh/FXMesh_ShanDian_001.asset,FXMesh_ShanDian_001
deleted,Assets/Mesh/Fire_3.asset,Assets/Mesh/Fire_2.asset,Fire
deleted,Assets/Mesh/Fire_4.asset,Assets/Mesh/Fire_2.asset,Fire
deleted,Assets/Mesh/Gloom_1.asset,Assets/Mesh/Gloom_0.asset,Gloom
deleted,Assets/Mesh/Gloom_2.asset,Assets/Mesh/Gloom_0.asset,Gloom
deleted,Assets/Mesh/Gloom_3.asset,Assets/Mesh/Gloom_0.asset,Gloom
deleted,Assets/Mesh/Gloom_5.asset,Assets/Mesh/Gloom_0.asset,Gloom
deleted,Assets/Mesh/Hermit King_2.asset,Assets/Mesh/Hermit King_1.asset,Hermit King
deleted,Assets/Mesh/Hermit King_3.asset,Assets/Mesh/Hermit King_1.asset,Hermit King
deleted,Assets/Mesh/Hermit King_1_1.asset,Assets/Mesh/Hermit King_1.asset,Hermit King
deleted,Assets/Mesh/Mesh_Owl_1_1.asset,Assets/Mesh/Mesh_Owl_1.asset,Mesh_Owl
deleted,Assets/Mesh/Scorpling_3.asset,Assets/Mesh/Scorpling_0.asset,Scorpling
deleted,Assets/Mesh/Snake_1.asset,Assets/Mesh/Snake_0.asset,Snake
deleted,Assets/Mesh/Tata_Gun001_7.asset,Assets/Mesh/Tata_Gun001_5.asset,Tata_Gun001
deleted,Assets/Mesh/Tata_Gun001_8.asset,Assets/Mesh/Tata_Gun001_5.asset,Tata_Gun001
deleted,Assets/Mesh/Weapon_5.asset,Assets/Mesh/Weapon_0.asset,Weapon
deleted,Assets/Mesh/Weapon_GLFZZ_Skin05_Skin_0_1.asset,Assets/Mesh/Weapon_GLFZZ_Skin05_Skin_1.asset,Weapon_GLFZZ_Skin05_Skin
deleted,Assets/Mesh/Weapon_GLFZZ_Skin05_Skin_1_1.asset,Assets/Mesh/Weapon_GLFZZ_Skin05_Skin_1.asset,Weapon_GLFZZ_Skin05_Skin
ref-repaired (xoa tu truoc),Assets/Archangel_0.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/Archangel_1.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/Archangel_2.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/Archangel_3.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/Archangel_4.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/Archangel_5.asset,Assets/Mesh/Archangel.asset,
ref-repaired (xoa tu truoc),Assets/BackA_0.asset,Assets/Mesh/BackA.asset,
ref-repaired (xoa tu truoc),Assets/Base_1.asset,Assets/Mesh/Base_1.asset,
ref-repaired (xoa tu truoc),Assets/Base_3.asset,Assets/Mesh/Base_1.asset,
ref-repaired (xoa tu truoc),Assets/Bomb_0.asset,Assets/Mesh/Bomb_1.asset,
ref-repaired (xoa tu truoc),Assets/Bomb_1.asset,Assets/Mesh/Bomb_1.asset,
ref-repaired (xoa tu truoc),Assets/Bomb_2.asset,Assets/Mesh/Bomb_1.asset,
ref-repaired (xoa tu truoc),Assets/Bomb_3.asset,Assets/Mesh/Bomb_1.asset,
ref-repaired (xoa tu truoc),Assets/Bomb_4.asset,Assets/Mesh/Bomb_1.asset,
ref-repaired (xoa tu truoc),Assets/Bud_0.asset,Assets/Mesh/Bud.asset,
ref-repaired (xoa tu truoc),Assets/Bud_1.asset,Assets/Mesh/Bud.asset,
ref-repaired (xoa tu truoc),Assets/Bud_2.asset,Assets/Mesh/Bud.asset,
ref-repaired (xoa tu truoc),Assets/Bud_3.asset,Assets/Mesh/Bud.asset,
ref-repaired (xoa tu truoc),Assets/Bud_4.asset,Assets/Mesh/Bud.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_0.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_1.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_2.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_3.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_4.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Bumble_5.asset,Assets/Mesh/Bumble.asset,
ref-repaired (xoa tu truoc),Assets/Cactus_0.asset,Assets/Mesh/Cactus.asset,
ref-repaired (xoa tu truoc),Assets/Cactus_2.asset,Assets/Mesh/Cactus.asset,
ref-repaired (xoa tu truoc),Assets/Cactus_3.asset,Assets/Mesh/Cactus.asset,
ref-repaired (xoa tu truoc),Assets/Cactus_4.asset,Assets/Mesh/Cactus.asset,
ref-repaired (xoa tu truoc),Assets/Cactus_5.asset,Assets/Mesh/Cactus.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_0.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_1.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_2.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_3.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_4.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_5.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Bolt_7.asset,Assets/Mesh/Cat Bolt.asset,
ref-repaired (xoa tu truoc),Assets/Cat Lightning_0.asset,Assets/Mesh/Cat Lightning.asset,
ref-repaired (xoa tu truoc),Assets/Cat Lightning_1.asset,Assets/Mesh/Cat Lightning.asset,
ref-repaired (xoa tu truoc),Assets/Cat Lightning_2.asset,Assets/Mesh/Cat Lightning.asset,
ref-repaired (xoa tu truoc),Assets/Cat Lightning_3.asset,Assets/Mesh/Cat Lightning.asset,
ref-repaired (xoa tu truoc),Assets/Cat Lightning_5.asset,Assets/Mesh/Cat Lightning.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_0.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_1.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_2.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_3.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_4.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Cat Meow_5.asset,Assets/Mesh/Cat Meow.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_0.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_1.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_2.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_3.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_4.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_5.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Death Mage_6.asset,Assets/Mesh/Death Mage.asset,
